book|id=1 ;title=The Great Gatsby ;year=1925 ;genre=Fiction ;description=A book about the American dream. ;image_path= ;type=Book ;author=F. Scott Fitzgerald ;pages=180
movie|id=2 ;title=Inception ;year=2010 ;genre=Sci-Fi ;description=A mind-bending thriller about dreams within dreams. ;image_path= ;type=Movie ;director=Christopher Nolan ;duration=148
game|id=3 ;title=The Legend of Zelda: Breath of the Wild ;year=2017 ;genre=Adventure ;description=An open-world adventure game. ;image_path= ;type=Game ;platform=Nintendo ;developer=Nintendo Switch
movie|id=5 ;title=The Matrix ;year=1999 ;genre=Sci-Fi ;description=A hacker discovers the nature of his reality. ;image_path= ;type=Movie ;director=The Wachowskis ;duration=136
game|id=6 ;title=God of War ;year=2018 ;genre=Action ;description=A story-driven action game based on Norse mythology. ;image_path= ;type=Game ;platform=Santa Monica Studio ;developer=PlayStation 4
book|id=7 ;title=1984 ;year=1949 ;genre=Dystopian ;description=A novel about a totalitarian regime and surveillance. ;image_path= ;type=Book ;author=George Orwell ;pages=328
movie|id=8 ;title=The Shawshank Redemption ;year=1994 ;genre=Drama ;description=A story of hope and friendship in prison. ;image_path= ;type=Movie ;director=Frank Darabont ;duration=142
game|id=9 ;title=Minecraft ;year=2011 ;genre=Sandbox ;description=A game about creativity and building in a blocky world. ;image_path= ;type=Game ;platform=Mojang Studios ;developer=Multiple Platforms
book|id=10 ;title=The Hobbit ;year=1937 ;genre=Fantasy ;description=A fantasy novel about a hobbit's adventure to reclaim a lost dwarf kingdom. ;image_path= ;type=Book ;author=J.R.R. Tolkien ;pages=310
movie|id=11 ;title=Pulp Fiction ;year=1994 ;genre=Crime ;description=A series of interconnected stories in the criminal underworld. ;image_path= ;type=Movie ;director=Quentin Tarantino ;duration=154
game|id=12 ;title=The Witcher 3: Wild Hunt ;year=2015 ;genre=RPG ;description=An open-world RPG based on the Witcher book series. ;image_path= ;type=Game ;platform=CD Projekt Red ;developer=Multiple Platforms
movie|id=14 ;title=Forrest Gump ;year=1994 ;genre=Drama ;description=The life journey of a simple man with a big heart. ;image_path= ;type=Movie ;director=Robert Zemeckis ;duration=142
game|id=15 ;title=Red Dead Redemption 2 ;year=2018 ;genre=Action-Adventure ;description=An epic tale of life in America's unforgiving heartland. ;image_path= ;type=Game ;platform=Rockstar Games ;developer=Multiple Platforms
book|id=16 ;title=The Catcher in the Rye ;year=1951 ;genre=Fiction ;description=A novel about teenage rebellion and alienation. ;image_path= ;type=Book ;author=J.D. Salinger ;pages=277
movie|id=17 ;title=The Dark Knight ;year=2008 ;genre=Action ;description=Batman faces off against the Joker in Gotham City. ;image_path= ;type=Movie ;director=Christopher Nolan ;duration=152
movie|id=19 ;title=Interstellar ;year=2014 ;genre=Sci-Fi ;description=A group of astronauts travel through a wormhole to save humanity. ;image_path= ;type=Movie ;director=Christopher Nolan ;duration=169
game|id=20 ;title=Elden Ring ;year=2022 ;genre=Action RPG ;description=A vast open-world game crafted by FromSoftware and George R.R. Martin. ;image_path= ;type=Game ;platform=FromSoftware ;developer=Multiple Platforms
book|id=21 ;title=The Lord of the Rings: The Fellowship of the Ring ;year=1954 ;genre=Fantasy ;description=The first part of the epic journey to destroy the One Ring. ;image_path=assets/movie_covers/lotr.jpg ;type=Book ;author=J.R.R. Tolkien ;pages=423
movie|id=22 ;title=Gladiator ;year=2000 ;genre=Historical Drama ;description=A Roman general seeks revenge after being betrayed. ;image_path= ;type=Movie ;director=Ridley Scott ;duration=155
game|id=23 ;title=Hollow Knight ;year=2017 ;genre=Metroidvania ;description=A mysterious adventure through a ruined insect kingdom. ;image_path= ;type=Game ;platform=Team Cherry ;developer=Multiple Platforms
book|id=24 ;title=The Alchemist ;year=1988 ;genre=Philosophical Fiction ;description=A young shepherd embarks on a journey to find his destiny. ;image_path= ;type=Book ;author=Paulo Coelho ;pages=197
movie|id=25 ;title=The Godfather ;year=1972 ;genre=Crime ;description=A mafia family's rise and struggles for power. ;image_path= ;type=Movie ;director=Francis Ford Coppola ;duration=175
game|id=26 ;title=Super Mario Odyssey ;year=2017 ;genre=Platformer ;description=Mario embarks on a globe-trotting adventure to rescue Princess Peach. ;image_path= ;type=Game ;platform=Nintendo ;developer=Nintendo Switch
book|id=27 ;title=The Picture of Dorian Gray ;year=1890 ;genre=Philosophical Fiction ;description=A man remains youthful while his portrait ages with his sins. ;image_path= ;type=Book ;author=Oscar Wilde ;pages=254
